batch size,data parallel,model parallel,thread num,fifo size,End to end FPS,Hardware FPS,Total execution time(ms),Prepare input time(ms),Copyin time(ms),Execution time(ms),Copyout time(ms),Post process time(ms)
8,1,32,32,2,813.249,29597.25,1574025,3363.375,2282.1442,2957.939,156.8555,333.5845
16,2,8,32,2,812.72,16947.2,1577798,4917.7578,10458.25925,3996.6412,210.4744,177.2292
2,4,8,8,2,811.9156,6932.312,1576568,1361.5044,678.93195,3053.7238,91.497,179.4444
4,2,4,64,2,810.446,20381.7,1579380,12669.55,734.40845,5598.672,823.141,203.805
8,8,2,32,2,805.171,18587.65,1589885,3538.7775,855.4299,3793.5425,119.9105,201.4235
8,1,4,64,2,803.456,12220.2,1593120,13164.49,923.66905,8296.791,559.635,1115.445
16,2,1,32,2,803.4488,4516.378,1594874,4292.2138,1185.16955,10664.617,143.9014,183.4232
1,2,4,32,2,803.1634,6759.648,1594538,2789.309,2435.72435,7656.216,93.3366,194.699
2,2,4,64,2,801.744,15142.9,1596520,13212.568,10797.57375,7006.302,913.966,191.856
16,4,8,32,2,800.7895,36270.75,1598620,3729.0205,703.7485,2727.9125,104.8205,190.843
2,32,1,16,2,799.0422,18547.48,1604470,2686.8598,752.61435,2708.6658,179.2766,178.5376
64,1,2,8,2,798.1708,1296.074,1604038,1843.0616,826.95175,9506.1132,40.7606,204.085
2,4,8,16,2,795.7526,13903.78,1608578,1748.555,1504.52715,3081.5634,104.9186,190.14
16,2,16,32,2,795.7275,33659.2,1608595,4225.384,2435.467625,2825.498,161.644,179.2665
2,8,4,16,2,793.482,14261.95,1613190,1693.141,767.2558,3049.182,102.402,191.3885
8,8,4,32,2,788.899,35782.1,1622545,3778.148,751.74675,2767.252,127.776,180.164
2,2,8,32,2,788.7986,13949.4,1623562,3149.369,848.66545,4560.16,237.462,189.3756
4,16,2,32,2,788.292,34912.45,1623775,3587.023,959.67465,2797.0015,175.3035,190.0745
1,2,2,32,2,788.2774,3353.866,1623962,2920.0884,1264.6606,13838.895,86.33,194.5844
2,32,1,32,2,788.188,37047.36,1625044,3832.5314,2581.01995,2730.7098,255.9694,193.7288
8,1,2,64,2,786.172,9973,1628140,13789.319,14744.509,9842.318,537.874,1101.537
